date,source,true_sleep,true_wake,detected_sleep,detected_wake,sleep_diff_minutes,wake_diff_minutes,sleep_time_error,wake_time_error
2025-01-24,Smart Combined,2025-01-25 02:30:00+00:00,2025-01-24 12:20:00+00:00,2025-01-24 23:47:49.213960448+00:00,2025-01-25 05:10:39.909438976+00:00,162.17976731666667,1010.6651573166668,-1277,430
2025-01-28,Smart Combined,2025-01-28 23:30:00+00:00,2025-01-29 08:30:00+00:00,2025-01-29 02:38:28.549333248+00:00,2025-01-29 10:06:54.733666816+00:00,188.47582223333333,96.91222778333334,1252,-96
2025-01-30,Smart Combined,2025-01-30 23:50:00+00:00,2025-01-31 07:30:00+00:00,2025-01-31 01:04:00.950676480+00:00,2025-01-31 05:33:54.501252608+00:00,74.01584461666667,116.09164578333333,1366,117
2025-01-31,Smart Combined,2025-02-01 02:20:00+00:00,2025-01-31 07:30:00+00:00,2025-02-01 01:15:32.483000064+00:00,2025-02-01 04:50:59.324999936+00:00,64.45861665,1280.98875,65,160
2025-02-02,Smart Combined,2025-02-02 23:20:00+00:00,2025-02-03 08:50:00+00:00,2025-02-03 04:01:54.708962048+00:00,2025-02-03 09:41:02.562332928+00:00,281.91181605,51.04270555,1159,-51
2025-02-03,Smart Combined,2025-02-03 23:40:00+00:00,2025-02-04 04:40:00+00:00,2025-02-04 04:00:38.364947968+00:00,2025-02-04 11:45:15.271716352+00:00,260.6394158,425.2545286166667,1180,-425
2025-02-04,Smart Combined,2025-02-04 23:40:00+00:00,2025-02-05 06:50:00+00:00,2025-02-05 01:43:10.553064704+00:00,2025-02-05 07:02:32.966419968+00:00,123.17588441666666,12.549440333333333,1317,-12
2025-02-05,Smart Combined,2025-02-06 02:50:00+00:00,2025-02-05 09:20:00+00:00,2025-02-06 00:31:51.229828096+00:00,2025-02-06 09:31:39.710493696+00:00,138.14616951666667,1451.6618415666667,139,-11
2025-02-09,Smart Combined,2025-02-09 23:30:00+00:00,2025-02-10 07:50:00+00:00,2025-02-09 22:17:43.876000+00:00,2025-02-10 04:22:12.636000+00:00,72.26873333333333,207.7894,73,208
2025-02-10,Smart Combined,2025-02-11 02:00:00+00:00,2025-02-10 09:00:00+00:00,2025-02-11 00:40:26.504000+00:00,2025-02-11 04:09:58.712999936+00:00,79.55826666666667,1149.97855,80,291
2025-02-12,Smart Combined,2025-02-13 02:20:00+00:00,2025-02-12 09:00:00+00:00,2025-02-12 20:05:16.004333312+00:00,2025-02-13 04:01:40.379000064+00:00,374.7332611,1141.6729833499999,-1065,299
2025-02-14,Smart Combined,2025-02-14 23:30:00+00:00,2025-02-15 07:30:00+00:00,2025-02-14 23:03:31.777000192+00:00,2025-02-15 04:15:21.919000064+00:00,26.470383316666666,194.63468331666667,27,195
2025-02-16,Smart Combined,2025-02-17 01:40:00+00:00,2025-02-16 08:20:00+00:00,2025-02-17 01:58:21.216225792+00:00,2025-02-17 09:31:29.366331904+00:00,18.353603766666666,1511.4894388666667,-18,-71
2025-02-18,Smart Combined,2025-02-18 22:50:00+00:00,2025-02-19 07:30:00+00:00,2025-02-18 22:15:55.443159040+00:00,2025-02-19 04:46:01.447877120+00:00,34.07594733333333,163.97586869999998,35,164
2025-02-19,Smart Combined,2025-02-19 12:50:00+00:00,2025-02-20 08:30:00+00:00,2025-02-20 04:48:34.700999936+00:00,2025-02-20 10:45:20.451000320+00:00,958.57835,135.34085001666668,482,-135
